fecha,anio,mes,mes_nombre,mes_orden,dia_semana,hora,hora_num,franja_horaria,area,direccion_hecho,barrio_hecho,clase_de_accidente,gravedad_del_accidente,clase_de_vehiculo,clase_de_servicio,controles_de_transito,coordenada_geografica
2023-02-11,2023,2,Febrero,2,Sábado,06:10:00,6.0,Mañana,URBANA,CARRERA 22 TRANSVERSAL 12,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,SEMAFORO,POINT (-76.201856 4.096575)
2023-02-11,2023,2,Febrero,2,Sábado,23:15:00,23.0,Noche,URBANA,CARRERA 10 FRENTE RESTAURANTE SANTA LUCIA,COMUNA 2,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.182475 4.086846)
2023-02-12,2023,2,Febrero,2,Domingo,00:17:00,0.0,Madrugada,URBANA,CALLE 22 CARRERA 26,COMUNA 4,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,SEMAFORO,POINT (-76.196312 4.088564)
2023-02-12,2023,2,Febrero,2,Domingo,14:30:00,14.0,Tarde,URBANA,CARRERA 33 CALLE 27,,CHOQUE,CON HERIDOS,AUTOMOVIL,PARTICULAR,VERTICAL,POINT (-76.191792 4.083412)
2023-02-12,2023,2,Febrero,2,Domingo,22:20:00,22.0,Noche,URBANA,CALLE 27 CARRERA 34,COMUNA 2,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,SEMAFORO,POINT (-76.191002 4.083259)
2023-02-14,2023,2,Febrero,2,Martes,10:30:00,10.0,Mañana,URBANA,CALLE 26A CARRERA 15,LA ESPERANZA,CHOQUE,CON HERIDOS,AUTOMOVIL,PARTICULAR,,POINT (-76.206159 4.088191)
2023-02-14,2023,2,Febrero,2,Martes,16:30:00,16.0,Tarde,URBANA,CALLE 21 CARRERA 32A,,CHOQUE,CON MUERTO,MOTOCICLETA,PARTICULAR,,POINT (-76.191764 4.087748)
2023-02-15,2023,2,Febrero,2,Miércoles,17:55:00,17.0,Tarde,URBANA,CARRERA 40 CALLE 13,ESTAMBUL,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,SEMAFORO,POINT (-76.17881 4.092184)
2023-02-16,2023,2,Febrero,2,Jueves,11:00:00,11.0,Mañana,URBANA,CARRERA 33 CALLE 29,VICTORIA,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.192694 4.081073)
2023-02-17,2023,2,Febrero,2,Viernes,15:20:00,15.0,Tarde,URBANA,CARRERA 35 CALLE 33,VICTORIA,CHOQUE,CON MUERTO,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.191679 4.077414)
2023-02-17,2023,2,Febrero,2,Viernes,20:00:00,20.0,Noche,URBANA,CARRERA 30 CALLE 31,VICTORIA,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.194901 4.0802)
2023-02-20,2023,2,Febrero,2,Lunes,03:40:00,3.0,Madrugada,URBANA,VIA TULUA RIO FRIO CALLE 27 # 1-99,COMUNA 6,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.201618 4.087311)
2023-02-20,2023,2,Febrero,2,Lunes,16:00:00,16.0,Tarde,URBANA,CARRERA  17 CALLE 9C,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.207987 4.097595)
2023-02-23,2023,2,Febrero,2,Jueves,14:28:00,14.0,Tarde,URBANA,CARRERA 33 CALLE 17,,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,VERTICAL,POINT (-76.200598 4.09159)
2023-02-23,2023,2,Febrero,2,Jueves,20:07:00,20.0,Noche,URBANA,CARERRA 40 # 26-56,SAN VICENTE,CHOQUE,SOLO DA„OS,CAMPERO,PARTICULAR,SEMAFORO,POINT (-76.186735 4.08272)
2023-02-24,2023,2,Febrero,2,Viernes,12:48:00,12.0,Tarde,URBANA,CALLE 13 CARRERA 2,COMUNA 7,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.187311 4.092843)
2023-02-26,2023,2,Febrero,2,Domingo,06:10:00,6.0,Mañana,URBANA,CARRERA 34 CALLE 33,VICTORIA,CHOQUE,CON HERIDOS,CAMIONETA,PARTICULAR,VERTICAL,POINT (-76.192995 4.078019)
2023-02-25,2023,2,Febrero,2,Sábado,20:10:00,20.0,Noche,URBANA,CALLE 13 CARRERA 50 + 90MTS,LA CRUZ,CHOQUE,CON HERIDOS,BICICLETA,PARTICULAR,,POINT (-76.171745 4.089242)
2023-02-26,2023,2,Febrero,2,Domingo,14:00:00,14.0,Tarde,URBANA,CARRERA 23A CALLE 6,,CHOQUE,SOLO DA„OS,AUTOMOVIL,PARTICULAR,,POINT (-76.206369 4.100175)
2023-02-27,2023,2,Febrero,2,Lunes,20:00:00,20.0,Noche,URBANA,CALLE 21 CARRERA 23,,CHOQUE,CON HERIDOS,AUTOMOVIL,PARTICULAR,VERTICAL,POINT (-76.198517 4.08983)
2023-02-27,2023,2,Febrero,2,Lunes,00:00:00,0.0,Madrugada,URBANA,CARRERA 40 FRENTE RANCHO PANORAMA,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.177198 4.094367)
2023-02-28,2023,2,Febrero,2,Martes,14:45:00,14.0,Tarde,URBANA,CARRERA 24 CALLE 19,,CHOQUE,CON HERIDOS,MOTOCICLETA,PARTICULAR,VERTICAL,POINT (-76.197923 4.090939)
2023-02-28,2023,2,Febrero,2,Martes,15:00:00,15.0,Tarde,URBANA,CARRERA 28 ENTRE 24 Y 25,,ATROPELLO,CON HERIDOS,MOTOCICLETA,PARTICULAR,,POINT (-76.195379 4.085831)
